
1.1,BlackScreen,1,,,,,,
0,Sound,Flash,,  x   y
0,HeartTeleport,320,310,,,,,,
0,SansHead,NoEyes,,
0.3,BlackScreen,0,,,,,,
0.0,CombatZoneResizeInstant,239,226,404,391,,,,
0,Sound,Flash,,


0,SansHead,Default
0,Sound,Flash,,
0,BlackScreen,1,,,,,,
0,SansHead,NoEyes,,
0,SansText,GET READY TO SURVIVE ,,
                   x   y   x   y
0,GasterBlaster,0.1,600,600,175,305,360,0.7,0.6
0,GasterBlaster,0.1,600,600,465,305,180,0.7,0.6
0,GasterBlaster,0.1,300,600,320,455,270,0.7,0.6
0,GasterBlaster,0.1,0,300,320,160,90,0.7,0.6

0.8,BlackScreen,0,,,,,,
0,Sound,Flash,,

1.3,BlackScreen,1,,,,,,
0,Sound,Flash,,
                           x   y
0,GasterBlaster,0.1,0,600,186,445,315,0.5,0.6
0,GasterBlaster,0.1,0,600,467,445,224,0.5,0.6
0,GasterBlaster,0.1,0,600,460,170,136,0.5,0.6
0,GasterBlaster,0.1,0,600,186,170,44.5,0.5,0.6

0.5,BlackScreen,0,,,,,, 
0,Sound,Flash,,
                    x  y   x   y
0.1,GasterBlaster,2,0,600,170,385,360,1,5
0,GasterBlaster,2,0,600,241.5,460,270,1,5
0,GasterBlaster,2,600,0,400,160,90,1,5
0,GasterBlaster,2,600,0,470,230,180,1,5


4,BlackScreen,1,,,,,,
0,Sound,Flash,,
0.25,BlackScreen,0,,,,,,

0,Sound,Flash,,




0.025,GasterBlaster,0.1,0,600,200,230,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,235,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,240,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,245,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,250,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,255,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,260,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,265,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,270,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,275,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,280,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,285,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,290,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,295,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,300,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,305,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,310,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,315,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,320,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,325,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,330,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,335,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,340,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,345,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,350,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,355,360,0.5,0.6
0.025,GasterBlaster,0.1,0,600,200,360,360,0.5,0.6


0.025,GasterBlaster,0.1,0,600,270,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,275,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,280,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,285,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,290,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,295,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,300,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,305,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,310,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,315,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,320,470,270,0.5,0.6
0.025,GasterBlaster,0.1,0,600,325,470,270,0.5,0.6
